patch,date [DD.MM.YYYY],time [HH:MM],water_temp [°C],ph [pH],do [mg l-1],do_sat [saturation],w_co2 [mATM],conductivity [uS cm -1],turb [NTU],rdna [boolean],gl_name,lat_sn [DD],lon_sn [DD],ele_sn [m],lat_sp [DD],lon_sp [DD],ele_sp [m],max_el [m],mean_el [m],sn_sp_dist [m],sn_sp_ele [m],abl_asp [°],gl_sa [km2],gl_cov [%],gl_a [km2],rgi_v6,glims_id,wgms_id,m_balance,mb_obs,fv_variation,fv_obs,sp_event,data_s,data_ts,sn_data,sn_data_ts,dem_data,dem_data_ts,mb_data_s,fv_data_s,sp_event_s,chla [ug g-1],eps [ugC g-1],ag [nmol g-1 h-1],ap [nmol g-1 h-1],bg [nmol g-1 h-1],lap [nmol g-1 h-1],nag [nmol g-1 h-1],bp [ngC g-1 h-1],wba [cells ml-1],sba [cells g-1],respiration [mg 02 g-1 h-1],abs254 [m-1],abs300 [m-1],suva [mg C l-1 m-1],e2e3 [proportion],e4e6 [proportion],s275295 [nm-1],s350400 [nm-1],s300700 [nm-1],sr [proportion],bix [proportion],fi [proportion],hix [proportion],coble_t [RU],coble_a [RU],coble_m [RU],coble_c [RU],doc [ug l-1],tss_1 [%],tss_2 [%],tss_3 [%],tss_4 [%],tss_5 [%],tss_5a [%],tss_5b [%],tss_5c [%],tss_5d [%],i1_na [ug l-1],i2_k [ug l-1],i3_mg [ug l-1],i4_ca [ug l-1],i5_cl [ug l-1],i6_so4 [ug l-1],n1_tn [ug l-1],n2_tp [ug l-1],n3_srp [ug l-1],n4_nh4 [ug l-1],n5_no3 [ug l-1],n6_no2 [ug l-1],hydro_isotope [per_mil],oxy_isotope [per_mil],Expedition
GL1_UP_1,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363,0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,NA,NA,397,136,NA,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,6.20E-06,0,0.013893716,0.212921469,0.005040966,1.08278125,0,40.976005,90048.552,5582103.22,0.003670463,7.535333333,5.488,2.354333333,1.957333333,0.937666667,0.007333333,0.006333333,0.005,1.153333333,1.469699333,1.920717,0.293888667,0.043792667,0.020522667,0.011431,0.006360333,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA,-57.9278,-9.12831,New Zealand
GL1_UP_2,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363,0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,NA,NA,397,136,NA,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,3.76E-05,0.205732,0.002292866,0.118450284,0.002649231,0.933340279,0,14.78712,NA,2385219.31,0.016843993,7.535333333,5.488,2.354333333,1.957333333,0.937666667,0.007333333,0.006333333,0.005,1.153333333,1.469699333,1.920717,0.293888667,0.043792667,0.020522667,0.011431,0.006360333,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA,-57.9278,-9.12831,New Zealand
GL1_UP_3,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363,0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,NA,NA,397,136,NA,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,0.000275467,0,0.001474181,0.106997484,0.007916985,0.614264541,0.01134831,13.139656,NA,1469103.36,0.031876561,7.535333333,5.488,2.354333333,1.957333333,0.937666667,0.007333333,0.006333333,0.005,1.153333333,1.469699333,1.920717,0.293888667,0.043792667,0.020522667,0.011431,0.006360333,143.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,32.1,44.2,NA,-57.9278,-9.12831,New Zealand
GL1_DN_1,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347,0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,NA,NA,2907,358,NA,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,8.47E-05,0,0.007477315,0.095905234,0.016368716,0.917579852,0,131.5078755,72695.47267,3840447.42,0.002736069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL1_DN_2,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347,0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,NA,NA,2907,358,NA,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,2.23E-05,0.977248,0.003576783,0.22405735,0.012694462,1.08317894,0,15.9140095,NA,1658472.02,0.005298178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL1_DN_3,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347,0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,NA,NA,2907,358,NA,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,NA,NA,NA,NA,NA,NA,NA,heute,NA,NA,NA,NA,NA,NA,NA,0.0001969,0,0.000978696,0,0,0,0,1.349678,NA,1324035.94,0.003786589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
GL2_UP_1,25.01.19,08:37,0,9.11,12.8,99.6,130,64,227,0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,NA,NA,56,11,NA,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.006171672,0.016839823,0,0.879466216,0,NA,45343.76367,2392754.61,0.001938932,4.472,3.327666667,1.646333333,1.859333333,0.78,0.006666667,0.008,0.005333333,0.833666667,1.656915667,0.772029,0.242289,0.023981333,0.013495,0.007073,0.003622667,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA,-55.6222,-8.87943,New Zealand
GL2_UP_2,25.01.19,08:37,0,9.11,12.8,99.6,130,64,227,0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,NA,NA,56,11,NA,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.000505935,0.042248303,0.004442758,1.414806721,0.003067026,0.697755,NA,1145862.46,0.003505904,4.472,3.327666667,1.646333333,1.859333333,0.78,0.006666667,0.008,0.005333333,0.833666667,1.656915667,0.772029,0.242289,0.023981333,0.013495,0.007073,0.003622667,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA,-55.6222,-8.87943,New Zealand
GL2_UP_3,25.01.19,08:37,0,9.11,12.8,99.6,130,64,227,0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,NA,NA,56,11,NA,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.000916291,0.032583113,0.002146476,1.741233809,0.00373962,NA,NA,531115.009,0.003309395,4.472,3.327666667,1.646333333,1.859333333,0.78,0.006666667,0.008,0.005333333,0.833666667,1.656915667,0.772029,0.242289,0.023981333,0.013495,0.007073,0.003622667,128.2333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,34.5,51.9,NA,-55.6222,-8.87943,New Zealand
GL2_DN_1,25.01.19,11:59,1.2,8.32,12.8,101.2,327.6,78.8,164.3,0,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,NA,NA,855,63,NA,4.08,0.41,9.99,RGI60-18.02270,G170174E43508S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.002605666,0.002085682,0,1.171216959,0,NA,37337.52733,732061.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand
